girl,age,num_people,jerib_cnt,sheep_cnt,treatment,formal_school,test_score
0,10,10,2,0,1,1,77.39816606
0,8,11,1,30,1,1,78.19911718
0,11,8,1,0,1,1,96.62098646
0,6,7,0,20,1,1,57.37439394
0,7,6,0,10,1,1,79.80101883
0,8,10,0,10,1,1,95.82003593
0,6,10,0,10,1,1,93.41718435
0,8,12,10,30,1,1,87.81052709
0,8,9,0.5,10,1,1,93.41718435
0,7,6,0,10,1,1,76.59721494
0,10,7,1,0,1,1,80.60196996
0,7,8,2,3,1,1,74.19436246
0,10,10,0,0,1,1,95.01908541
0,7,10,0,0,1,1,67.78675556
0,10,5,0,10,1,1,78.19911718
0,11,7,1,10,1,1,77.39816606
0,8,7,1,10,1,1,61.37914836
0,11,6,2,5,1,1,78.19911718
0,8,5,1,5,1,1,66.18485391
0,8,8,0,0,1,1,84.60672379
0,8,6,0,4,1,1,84.60672379
0,9,7,0,4,1,1,95.82003593
0,10,12,3,5,1,1,79.80101883
0,7,12,3,5,1,0,59.77724671
0,6,4,0.5,35,1,1,71.79150999
0,10,6,0,2,1,1,76.59721494
0,9,5,0,0,1,0,58.97629619
0,8,5,0,0,1,0,82.20387101
0,6,8,3,0,1,1,58.97629619
0,10,8,3,0,1,1,78.19911718
0,7,10,1,5,1,1,62.98105001
0,6,11,1,10,1,1,74.19436246
0,10,10,0,20,1,1,82.20387101
0,8,10,0,20,1,1,83.00482273
0,6,10,0,20,1,1,59.77724671
0,11,6,1,3,1,1,96.62098646
0,8,6,1,3,1,1,70.99055909
0,6,10,1,10,1,1,75.79626441
0,7,18,0,0,1,1,82.20387101
0,10,7,0.5,7,1,1,75.79626441
0,7,9,2,11,1,1,76.59721494
0,10,16,1,10,1,1,72.59246081
0,8,6,1,3,1,0,59.77724671
0,10,10,1,6,1,1,76.59721494
0,6,10,1,6,1,1,60.57819784
0,6,12,0,7,1,1,62.98105001
0,11,12,0,7,1,0,84.60672379
0,8,12,0,7,1,1,66.98580474
0,10,9,3,0,1,1,74.19436246
0,7,9,1,3,1,0,67.78675556
0,10,9,1,3,1,1,80.60196996
0,6,11,1,10,1,1,65.38390279
0,9,11,1,10,1,1,94.21813488
0,11,10,2,10,1,1,83.80577326
